,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_intent_DEBTCONSOLIDATION,loan_intent_EDUCATION,loan_intent_HOMEIMPROVEMENT,loan_intent_MEDICAL,loan_intent_PERSONAL,loan_intent_VENTURE,loan_grade_A,loan_grade_B,loan_grade_C,loan_grade_D,loan_grade_E,loan_grade_F,loan_grade_G
60,21,131000,0.0,30000,5.99,0,0.23,N,4,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
61,22,275000,6.0,12000,11.58,0,0.04,N,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
63,25,221850,9.0,25000,15.7,1,0.1,N,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
64,22,70000,6.0,29100,15.99,1,0.42,N,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
65,22,12000,7.0,1500,14.84,0,0.13,Y,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
66,26,260000,10.0,28000,10.99,0,0.11,N,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
67,25,259000,9.0,20000,14.42,0,0.08,Y,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
68,24,255000,9.0,9600,6.99,0,0.04,N,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
69,25,250000,2.0,25000,13.49,0,0.1,N,4,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
72,21,12000,6.0,3000,13.61,1,0.25,Y,3,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
73,23,65000,2.0,28000,7.9,1,0.43,N,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
74,26,85000,2.0,28000,7.49,1,0.33,N,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
75,26,12000,2.0,6100,7.51,1,0.51,N,3,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
76,22,88000,6.0,28000,9.91,1,0.32,N,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
77,21,12000,0.0,4200,13.48,1,0.35,Y,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
78,22,12000,6.0,4750,7.14,1,0.4,N,2,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
79,24,83004,0.0,28000,15.99,1,0.34,Y,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
80,24,250000,2.0,18000,12.98,0,0.07,Y,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
81,144,250000,4.0,4800,13.57,0,0.02,N,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
82,25,100000,5.0,28000,12.69,0,0.28,N,3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
83,26,110000,10.0,28000,8.9,0,0.25,N,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
86,23,151200,7.0,28000,11.11,0,0.19,N,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
88,21,12000,5.0,3250,15.68,1,0.27,Y,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
89,22,70000,4.0,27500,13.06,1,0.39,Y,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
91,26,73200,5.0,27050,15.62,1,0.37,Y,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
92,24,83000,5.0,27000,13.49,1,0.33,Y,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
94,23,62500,7.0,26000,11.71,1,0.42,N,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
95,23,120000,1.0,25600,12.69,0,0.21,N,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
96,24,12360,2.0,1600,13.57,0,0.13,N,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
97,22,60000,0.0,25475,10.99,1,0.42,N,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
98,25,234000,3.0,20000,14.27,0,0.09,Y,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
99,24,234000,8.0,20000,8.88,0,0.09,N,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
100,26,234000,10.0,21600,12.18,0,0.09,N,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
101,25,221004,6.0,11900,14.42,1,0.05,Y,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
102,26,232500,0.0,25000,14.17,0,0.11,Y,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
103,25,230000,5.0,35000,13.99,0,0.15,N,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
104,23,83000,7.0,25300,10.99,1,0.3,N,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
106,25,12600,3.0,1750,13.61,0,0.14,N,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
107,21,42500,3.0,25000,12.73,1,0.59,Y,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
109,25,12816,0.0,3000,12.87,1,0.23,Y,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
110,24,12960,1.0,3650,9.91,1,0.28,N,3,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
111,26,226000,4.0,20000,11.49,0,0.09,N,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
112,25,225000,0.0,30000,19.91,0,0.13,Y,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
113,26,213000,6.0,35000,10.65,1,0.16,N,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
115,24,12960,0.0,4500,11.83,1,0.35,N,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
116,23,12996,0.0,2400,13.49,1,0.18,Y,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
117,22,42000,6.0,25000,14.59,1,0.6,Y,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
118,26,48000,2.0,25000,9.64,1,0.52,N,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
119,25,12996,1.0,3600,14.59,1,0.28,N,3,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
121,25,42360,1.0,25000,16.35,1,0.59,Y,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
122,21,49000,4.0,25000,10.99,1,0.51,N,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
123,25,225000,0.0,25000,18.67,0,0.11,N,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
124,26,225000,1.0,3000,9.32,0,0.01,N,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
125,23,225000,8.0,7500,8.63,0,0.03,N,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
126,26,225000,2.0,25000,10.08,0,0.11,N,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
127,22,49464,5.0,25000,11.83,1,0.51,N,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
128,23,50000,1.0,25000,7.9,1,0.5,N,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
129,25,50000,4.0,25000,5.99,1,0.5,N,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
130,24,44000,2.0,25000,15.33,1,0.57,N,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
131,23,50000,1.0,25000,11.83,1,0.5,N,4,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
132,22,50004,0.0,25000,10.36,1,0.5,N,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
133,22,50004,3.0,25000,12.23,1,0.5,N,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
134,22,52000,2.0,25000,11.11,1,0.48,N,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
135,23,13200,3.0,4950,7.9,1,0.38,N,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
136,24,220000,1.0,25000,11.58,0,0.11,N,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
137,23,216000,5.0,21000,8.9,0,0.1,N,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
138,25,216000,2.0,25000,16.07,0,0.12,N,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
139,26,216000,10.0,20000,14.22,0,0.09,Y,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
140,23,215000,7.0,35000,14.79,0,0.16,Y,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
141,26,215000,11.0,12000,7.88,0,0.06,N,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
142,23,52000,1.0,25000,13.22,1,0.48,N,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
143,26,46000,2.0,25000,11.86,1,0.54,N,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
144,22,53000,5.0,25000,13.43,1,0.47,Y,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
145,26,47000,0.0,25000,15.28,1,0.53,Y,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
146,23,47000,1.0,25000,17.93,1,0.53,N,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
147,23,13200,2.0,1400,9.25,0,0.11,N,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
148,21,13200,0.0,4500,12.98,1,0.34,N,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
149,22,210000,6.0,16000,10.62,0,0.08,N,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
150,26,210000,10.0,22000,11.83,0,0.1,N,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
151,26,48000,5.0,25000,18.43,1,0.52,N,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
154,23,55000,4.0,25000,11.36,1,0.45,N,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
155,23,55000,4.0,25000,15.65,1,0.45,Y,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
156,24,55164,8.0,25000,13.22,1,0.45,Y,4,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
157,26,56000,4.0,25000,12.87,1,0.45,N,2,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
158,24,203500,8.0,20000,13.04,0,0.1,N,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
159,23,190000,5.0,22000,17.58,1,0.12,Y,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
160,23,13920,2.0,7750,17.04,1,0.56,N,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
161,24,60000,0.0,25000,10.99,1,0.42,N,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
162,24,60000,2.0,25000,11.11,1,0.42,N,3,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
163,26,54000,7.0,25000,14.83,1,0.46,Y,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
165,24,200000,8.0,12000,12.69,0,0.06,N,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
166,24,200000,8.0,12000,13.49,0,0.06,N,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
167,21,200000,5.0,16000,14.65,0,0.08,N,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
168,25,54000,3.0,25000,16.82,1,0.46,N,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
169,23,60000,3.0,25000,12.73,1,0.42,N,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
170,23,60000,7.0,25000,10.25,1,0.42,N,4,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
171,21,60000,6.0,25000,10.99,1,0.42,N,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
172,25,61959,9.0,25000,12.73,1,0.4,N,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
173,22,56400,2.0,25000,14.96,1,0.44,Y,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
175,21,200000,2.0,25000,13.99,0,0.13,N,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
176,24,200000,3.0,24000,7.49,0,0.12,N,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
177,26,200000,4.0,15000,14.79,0,0.07,N,3,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
178,25,200000,2.0,15500,11.99,0,0.08,N,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
179,24,200000,8.0,10000,8.49,0,0.05,N,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
180,24,66000,3.0,25000,9.91,1,0.38,N,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
181,22,66000,6.0,25000,13.06,1,0.38,Y,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
182,22,200000,6.0,9000,6.17,0,0.04,N,4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
183,144,200000,4.0,6000,11.86,0,0.03,N,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
184,25,200000,5.0,18000,16.32,0,0.09,N,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
185,25,200000,2.0,12000,10.38,0,0.06,N,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
186,25,200000,9.0,23050,14.35,0,0.12,N,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
190,26,66996,10.0,25000,15.21,1,0.37,Y,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
191,23,67000,3.0,25000,7.9,1,0.37,N,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
192,24,67000,2.0,25000,10.99,1,0.37,N,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
193,24,68000,5.0,25000,14.09,1,0.37,Y,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
194,25,69000,9.0,25000,17.49,1,0.36,N,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
195,25,200000,0.0,12000,11.48,0,0.06,N,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
196,26,188000,10.0,20000,17.74,1,0.11,N,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
197,26,200000,4.0,3000,13.92,0,0.01,N,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
198,25,69996,9.0,25000,15.21,1,0.36,N,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
199,22,14400,2.0,4000,10.99,1,0.28,N,3,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
200,24,70000,3.0,25000,11.86,1,0.36,N,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
201,24,14400,5.0,6000,7.49,1,0.42,N,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
202,24,56100,7.0,25000,16.49,1,0.38,N,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
203,25,66000,9.0,25000,15.33,1,0.38,Y,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
204,26,66000,3.0,25000,11.58,1,0.38,N,4,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
205,25,14400,7.0,5375,5.79,1,0.37,N,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
206,25,72612,9.0,25000,13.11,1,0.34,N,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
207,23,74000,3.0,25000,10.36,1,0.34,N,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
208,25,75000,9.0,25000,10.36,1,0.33,N,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
210,21,192000,123.0,20000,6.54,0,0.1,N,4,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
211,25,191000,1.0,10000,12.53,0,0.05,N,4,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
214,24,75000,4.0,25000,10.25,1,0.33,N,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
215,22,71000,1.0,25000,15.95,1,0.35,Y,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
216,26,190000,3.0,20000,12.18,0,0.11,N,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
217,23,189996,0.0,24000,11.83,0,0.13,N,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
219,23,78000,1.0,25000,10.62,1,0.32,N,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
220,23,78504,7.0,25000,10.74,1,0.32,N,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
221,25,186000,9.0,10000,10.25,0,0.05,N,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
223,25,185000,6.0,15000,15.27,0,0.08,N,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
224,24,62050,8.0,25000,15.33,1,0.34,Y,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
225,23,79416,7.0,25000,15.21,1,0.31,Y,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
226,21,14400,4.0,6250,14.72,1,0.43,N,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
227,24,79631,8.0,25000,15.7,1,0.31,Y,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
228,24,79632,0.0,25000,13.35,1,0.31,N,4,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
230,24,80000,6.0,25000,6.62,1,0.31,N,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
231,26,80000,5.0,25000,13.61,1,0.31,N,4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
232,22,185000,4.0,25000,11.36,0,0.14,N,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
233,26,185000,10.0,5000,7.68,0,0.03,N,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
234,24,184992,7.0,22000,14.46,0,0.12,Y,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
235,23,184000,5.0,2500,11.83,0,0.01,N,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
236,24,172000,6.0,20000,13.47,1,0.12,Y,4,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
237,24,183000,2.0,20000,11.49,0,0.11,N,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
239,25,182952,9.0,15000,6.03,0,0.08,N,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
240,23,74004,7.0,25000,16.35,1,0.34,N,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
242,25,81000,5.0,25000,7.29,1,0.31,N,3,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
243,23,81600,1.0,25000,11.36,1,0.31,N,3,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
244,24,82000,8.0,25000,10.25,0,0.3,N,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
245,24,83000,5.0,25000,11.12,0,0.3,N,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
246,24,83000,5.0,25000,12.92,0,0.3,Y,3,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
